#,システム,機能,シート名
1,Front Office_共通,ログイン,【共通】トップ
2,,,【共通】ログイン
3,Front Office_顧客ユーザー,ホーム,【顧客ユーザー】ヘッダー・フッター
4,,,【顧客ユーザー】ホーム
5,Front Office_支援者,ホーム,【支援者】ヘッダー・フッター
6,,,【支援者】ホーム
7,Front Office_支援者責任者,ホーム,【支援者責任者】ヘッダー・フッター
8,,,【支援者責任者】ホーム
9,Front Office_営業担当者,ホーム,【営業担当者】ホーム
10,Front Office_営業責任者,ホーム,【営業責任者】ホーム
11,Front Office_事業者責任者,ホーム,【事業者責任者】ホーム
12,Front Office_アライアンス,ログイン,【アライアンス担当】ログイン
13,,ソーシング,【アライアンス】ヘッダー・フッター
14,,,【アライアンス】ソーシング画面
15,,,【アライアンス担当】メールアドレス変更
16,Front Office_ソルバー,ログイン,【ソルバー】ログイン
17,,ホーム,【ソルバー】ヘッダー・フッター
18,,,【ソルバー】ホーム
19,,,【ソルバー】ソルバー候補詳細