テストケース番号,大項目,中項目,小項目,パターン,ユーザーロール,前提条件,実行手順,期待値,実施結果,実施日,実施者,設計備考,不具合No,ステータス,バックログNO
TC-A1-001,個人ソルバー管理,生年月日不明設定,チェックボックス表示,正常系,管理者,個人ソルバー詳細画面を表示,"1. 個人ソルバー詳細画面にアクセス
2. 生年月日項目を確認",生年月日入力欄の近くに「不明」チェックボックスが表示される,未実施,,,,未実施,REQ-001
TC-A1-002,個人ソルバー管理,生年月日不明設定,チェックボックス操作,正常系,管理者,個人ソルバー詳細画面を表示、生年月日に値が入力済み,"1. 「不明」チェックボックスをチェック
2. 生年月日入力欄の状態を確認",生年月日入力欄がグレーアウトされ、編集不可になる,未実施,,,,未実施,REQ-001
TC-A1-003,個人ソルバー管理,生年月日不明設定,チェック解除,正常系,管理者,「不明」チェックボックスがチェック済み,"1. 「不明」チェックボックスのチェックを外す
2. 生年月日入力欄の状態を確認",生年月日入力欄が編集可能になる,未実施,,,,未実施,REQ-001
TC-A1-004,個人ソルバー管理,生年月日不明設定,初期状態確認,正常系,管理者,新規個人ソルバー作成画面を表示,"1. 新規個人ソルバー作成画面にアクセス
2. 生年月日項目の初期状態を確認","生年月日入力欄は編集可能、「不明」チェックボックスは未チェック状態",未実施,,,,未実施,REQ-001
TC-A2-001,個人ソルバー管理,生年月日不明設定,権限チェック,異常系,一般ユーザー,一般ユーザーでログイン,"1. 個人ソルバー詳細画面にアクセス
2. 生年月日項目の表示・編集権限を確認",編集権限がない場合は「不明」チェックボックスが非表示または無効化される,未実施,,,,未実施,REQ-002
TC-B1-001,個人ソルバー管理,単価表示,人月単価0の場合,正常系,管理者,個人ソルバーの人月単価が0に設定済み,"1. 個人ソルバー詳細画面にアクセス
2. 人月単価表示を確認",人月単価欄に「不明」と表示される,未実施,,,,未実施,REQ-003
TC-B1-002,個人ソルバー管理,単価表示,時間単価0の場合,正常系,管理者,個人ソルバーの時間単価が0に設定済み,"1. 個人ソルバー詳細画面にアクセス
2. 時間単価表示を確認",時間単価欄に「不明」と表示される,未実施,,,,未実施,REQ-003
TC-B1-003,個人ソルバー管理,単価表示,両方とも0の場合,正常系,管理者,個人ソルバーの人月単価・時間単価が共に0に設定済み,"1. 個人ソルバー詳細画面にアクセス
2. 両方の単価表示を確認",人月単価・時間単価の両方に「不明」と表示される,未実施,,,,未実施,REQ-003
TC-B1-004,個人ソルバー管理,単価表示,正常値の場合,正常系,管理者,個人ソルバーの単価に正常値が設定済み,"1. 個人ソルバー詳細画面にアクセス
2. 単価表示を確認",設定された単価の値が正常に表示される（「不明」は表示されない）,未実施,,,,未実施,REQ-003
TC-B2-001,個人ソルバー管理,単価表示,一括更新画面での表示,正常系,管理者,個人ソルバーの単価が0に設定済み,"1. 稼働率・単価一括更新画面にアクセス
2. 単価表示を確認",単価欄に0が表示される（「不明」は表示されない）,未実施,,,,未実施,REQ-004
TC-C1-001,外部システム連携,Salesforce連携,生年月日不明フラグ送信,正常系,管理者,「不明」チェックボックスをチェック済み,"1. 保存ボタンをクリック
2. Salesforce側のデータを確認",Salesforceに生年月日不明フラグが正しく連携される,未実施,,,システム連携テスト,未実施,REQ-005
TC-C1-002,外部システム連携,Salesforce連携,生年月日不明フラグ解除,正常系,管理者,Salesforceに生年月日不明フラグがTRUEで設定済み,"1. 「不明」チェックボックスのチェックを外す
2. 保存ボタンをクリック
3. Salesforce側のデータを確認",Salesforceの生年月日不明フラグがFALSEに更新される,未実施,,,システム連携テスト,未実施,REQ-005
TC-C1-003,外部システム連携,Salesforce連携,連携エラー処理,異常系,管理者,Salesforce連携が一時的にエラー状態,"1. 「不明」チェックボックスをチェック
2. 保存ボタンをクリック
3. エラー状況を確認",適切なエラーメッセージが表示され、データの整合性が保たれる,未実施,,,エラーハンドリング確認,未実施,REQ-006
TC-D1-001,データ整合性,既存データ,生年月日ありデータ,正常系,管理者,既存の生年月日データが存在,"1. 個人ソルバー詳細画面を表示
2. 「不明」チェックボックスをチェック
3. 保存後、再度画面を表示",元の生年月日データは保持され、「不明」チェックボックスがチェック状態で表示される,未実施,,,データ移行確認,未実施,REQ-007
TC-D1-002,データ整合性,新規データ,不明状態での新規作成,正常系,管理者,新規個人ソルバー作成画面,"1. 新規作成画面で「不明」チェックボックスをチェック
2. 他の必須項目を入力
3. 保存を実行",生年月日が空白で、「不明」フラグがTRUEの状態で保存される,未実施,,,新規データ作成,未実施,REQ-007
TC-E1-001,UI・UX,ユーザビリティ,チェックボックス位置,正常系,管理者,個人ソルバー詳細画面を表示,"1. 画面レイアウトを確認
2. 「不明」チェックボックスの位置を確認",チェックボックスが生年月日入力欄から適切な距離に配置されている,未実施,,,UI設計確認,未実施,REQ-008
TC-E1-002,UI・UX,ユーザビリティ,グレーアウト表示,正常系,管理者,「不明」チェックボックスがチェック済み,"1. 生年月日入力欄の見た目を確認
2. 編集不可状態の視認性を確認",グレーアウトされた状態が明確に識別でき、編集不可であることが分かる,未実施,,,UI設計確認,未実施,REQ-008
TC-E1-003,UI・UX,ユーザビリティ,エラーメッセージ,異常系,管理者,必須項目未入力の状態,"1. 「不明」チェックボックスをチェック
2. 他の必須項目を未入力のまま保存
3. エラーメッセージを確認",分かりやすいエラーメッセージが表示される,未実施,,,エラーメッセージ確認,未実施,REQ-009
TC-F1-001,パフォーマンス,画面表示速度,詳細画面読み込み,正常系,管理者,個人ソルバーデータが1000件存在,"1. 個人ソルバー詳細画面にアクセス
2. 読み込み時間を測定",画面表示が3秒以内に完了する,未実施,,,パフォーマンステスト,未実施,REQ-010
TC-F1-002,パフォーマンス,Salesforce連携,連携処理時間,正常系,管理者,「不明」チェックボックスをチェック済み,"1. 保存ボタンをクリック
2. Salesforce連携完了までの時間を測定",連携処理が10秒以内に完了する,未実施,,,パフォーマンステスト,未実施,REQ-010
TC-G1-001,回帰テスト,既存機能,個人ソルバー検索,正常系,管理者,個人ソルバーが複数件存在,"1. 個人ソルバー検索画面にアクセス
2. 生年月日での検索を実行
3. 検索結果を確認","不明データは適切に除外または表示され、既存の検索機能に影響しない",未実施,,,回帰テスト,未実施,REQ-011
TC-G1-002,回帰テスト,既存機能,一覧表示,正常系,管理者,個人ソルバーが複数件存在,"1. 個人ソルバー一覧画面にアクセス
2. 一覧表示を確認
3. ソート機能を確認",一覧表示とソート機能が正常に動作し、不明データも適切に表示される,未実施,,,回帰テスト,未実施,REQ-011
TC-G1-003,回帰テスト,既存機能,データエクスポート,正常系,管理者,個人ソルバーデータが存在,"1. データエクスポート機能を使用
2. エクスポートされたデータを確認","不明データも含めて正しくエクスポートされ、既存機能に影響しない",未実施,,,回帰テスト,未実施,REQ-011